U;ТП;Sтр-р;Тип;Nтр
6;4306;400;ТМГ;Т 
6;4307;400;ТМГ;Т 
6;4308;630;ТМГ;Т-1 
6;4308;630;ТМГ;Т-2 
6;4309;160;ТМГ;Т-1 
6;4309;160;ТМГ;Т-2 
6;4310;630;ТМГ;Т-1 
6;4310;630;ТМГ;Т-2 
6;4311;630;ТМГ;Т-1 
6;4311;630;ТМГ;Т-2 
6;4312;160;ТМГ;Т-1 
6;4312;160;ТМГ;Т-2 
6;313;400;ТМГ;Т-1 
6;313;320;ТМГ;Т-2 
6;4314;400;ТМГ;Т-1 
6;4314;400;ТМГ;Т-2 
6;315;630;ТМГ;Т-1 
6;315;630;ТМГ;Т-2 
6;4316;250;ТМГ;Т-1 
6;4316;400;ТМГ;Т-2 
6;4317;200;ТМГ;Т
6;4318;400;ТМГ;Т
6;4319;400;ТМГ;Т
6;4320;180;ТМГ;Т-1 
6;4320;320;ТМГ;Т-2 
6;4321;315;ТМГ;Т 
6;4322;400;ТМГ;Т-1 
6;4322;400;ТМГ;Т-2
6;4323;630;ТМГ;Т
6;0324;400;ТМГ;Т-1 
6;0324;400;ТМГ;Т-2 
6;4325;250;ТМГ;Т-1 
6;4325;160;ТМГ;Т-2 
6;4326;630;ТМГ;Т
6;4327;630;ТМГ;Т
6;4328;320;ТМГ;Т
6;4329;320;ТМГ;Т-1
6;4329;400;ТМГ;Т-2 
6;4330;320;ТМГ;Т 
6;4331;63;ТМГ;Т
6;4332;315;ТМГ;Т
6;4333;630;ТМГ;Т
6;4334;400;ТМГ;Т
6;4335;180;ТМГ;Т
6;4336;160;ТМГ;Т
6;4337;630;ТМГ;Т
6;338;630;ТМГ;Т-1
6;338;630;ТМГ;Т-2 
6;4339;400;ТМГ;Т 
6;4340;630;ТМГ;Т 
6;4341;250;ТМГ;Т 
6;4342;630;ТМГ;Т-1 
6;4342;630;ТМГ;Т-2 
6;4343;180;ТМГ;Т 
6;4344;320;ТМГ;Т-1 
6;4344;320;ТМГ;Т-2 
6;4345;400;ТМГ;Т 
6;4346;160;ТМГ;Т 
6;4347;1000;ТМГ;Т-1
6;4347;1000;ТМГ;Т-2
6;4348;400;ТМГ;Т 
6;4349;630;ТМГ;Т-1 
6;4349;630;ТМГ;Т-2 
6;4350;320;ТМГ;Т 
6;4351;400;ТМГ;Т-1 
6;4351;400;ТМГ;Т-2 
6;4352;630;ТМГ;Т-1 
6;4352;630;ТМГ;Т-2 
6;4353;630;ТМГ;Т-1 
6;4353;630;ТМГ;Т-2 
6;4354;400;ТМГ;Т 
6;4355;630;ТМГ;Т-1 
6;4355;630;ТМГ;Т-2 
6;4356;180;ТМГ;Т 
6;4357;630;ТМГ;Т-1 
6;4357;630;ТМГ;Т-2 
6;358;400;ТМГ;Т-1 
6;358;380;ТМГ;Т-2 
6;4359;320;ТМГ;Т-1 
6;4359;320;ТМГ;Т-2 
6;4360;250;ТМГ;Т 
6;4361;630;ТМГ;Т-1 
6;4361;630;ТМГ;Т-2 
6;362;630;ТМГ;Т-1 
6;362;630;ТМГ;Т-2 
6;4363;630;ТМГ;Т-1 
6;4363;630;ТМГ;Т-2 
6;4364;630;ТМГ;Т-1 
6;4364;630;ТМГ;Т-2 
6;4365;400;ТМГ;Т-1 
6;4365;400;ТМГ;Т-2 
6;4366;320;ТМГ;Т 
6;4367;630;ТМГ;Т 
6;4368;630;ТМГ;Т 
6;4369;315;ТМГ;Т 
6;4370;630;ТМГ;Т 
6;4371;630;TTU-AL;Т-1 
6;4371;560;ТМ;Т-2 
6;4372;400;ТМГ;Т 
6;4373;630;ТМГ;Т 
6;4374;320;ТМГ;Т 
6;4375;400;ТМГ;Т 
6;4376;250;ТМГ;Т 
6;4377;400;ТМ;Т-1 
6;4377;400;ТМГ;Т-2 
6;378;630;ТМ;Т-1 
6;378;630;ТМ;Т-2 
6;4379;380;ТМГ;Т-1 
6;4379;400;ТМГ;Т-2 
6;4380;400;ТМГ;Т-1 
6;4380;400;ТМГ;Т-2 
6;4381;560;ТМГ;Т-1 
6;4381;560;ТМГ;Т-2 
6;4382;400;ТМГ;Т-1 
6;4382;400;ТМГ;Т-2 
6;4383;400;ТМГ;Т
6;4384;315;TTU-AL;Т
6;4385;320;ТМ;Т
6;4386;630;ТМГ;Т
6;4387;180;ТМ;Т-1 
6;4387;180;ТМ;Т-2 
6;4388;320;ТМГ;Т-1 
6;4388;320;ТМГ;Т-2 
6;4389;100;ТМГ;Т
6;4390;400;ТМГ;Т
6;4391;400;ТМ;Т-1 
6;4391;400;ТМ;Т-2 
6;4392;250;ТМГ;Т-1 
6;4392;250;ТМГ;Т-2 
6;4393;400;ТМГ;Т-1 
6;4393;315;ТМГ;Т-2
6;4394;160;ТМГ;Т-1 
6;4394;400;ТМГ;Т-2 
6;4395;400;ТМГ;Т-1 
6;4395;400;ТМГ;Т-2
6;4396;630;ТМГ;Т-1 
6;4396;630;ТМГ;Т-2 
6;4397;400;ТМГ;Т-1 
6;4397;400;ТМГ;Т-2 
6;4398;400;ТМГ;Т-1 
6;4398;400;ТМГ;Т-2 
6;4399;315;ТМГ;Т -1 
6;4399;250;ТМГ;Т-2 
6;4400;240;ТМГ;Т  
6;4401;630;ТМГ;Т-1  
6;4401;630;ТМГ;Т-2  
6;4402;320;ТМГ;Т  
6;4404;400;ТМГ;Т  
6;4405;160;ТМГ;Т  
6;4406;180;ТМГ;Т  
6;4407;100;ТМГ;Т  
6;4408;250;ТМГ;Т  
6;4409;320;ТМГ;Т-1  
6;4409;250;ТМГ;Т-2  
6;4410;180;ТМГ;Т-1  
6;4410;320;ТМГ;Т-2  
6;4411;250;ТМГ;Т  
6;4412;400;ТМГ;Т  
6;4413;630;ТМГ;Т  
6;4414;400;ТМГ;Т  
6;0415;1600;ТМГ;Т-1  
6;0415;1600;ТМГ;Т-2  
6;0416;1250;ТМГ;Т-1  
6;0416;1250;ТМГ;Т-2  
6;4417;320;ТМГ;Т-1  
6;4417;320;ТМГ;Т-2  
6;4418;630;ТМГ;Т-1  
6;4418;630;ТМГ;Т-2  
6;4419;250;ТМГ;Т  
6;4420;630;ТМГ;Т 
6;4421;630;ТМГ;Т-1 
6;4421;630;ТМГ;Т-2 
6;4422;630;ТМГ;Т-1  
6;4422;630;ТМГ;Т-2 
